Encabezados,name_w,year_w,price,user_score,type_w,region,alcohol_content,wine_grape,pk_score,pn_score,sk_score
0,Pago de Carraovejas, 2021,"37,40 €","4,8",Vino tinto,Ribera del Duero,"15,0%",Tempranillo,93 PK,93 PN,91 SK
1,José Pariente Verdejo, 2022,"10,50 €","4,5",Vino blanco,Rueda,"13,0%",Verdejo,NA,92 PN,NA
2,Ultreia Saint Jacques, 2021,"11,50 €","4,2",Vino tinto,Bierzo,"13,5%",Mencía,93 PK,92 PN,NA
3,PSI, 2021,"39,95 €","4,6",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,93-95 PK,94 PN,94 SK
4,Viña Tondonia Reserva, 2010,"38,90 €","4,5",Vino tinto,Rioja,"13,0%",Tempranillo,94 PK,93 PN,95 SK
5,Tinto Pesquera Crianza, 2020,"19,30 €","4,5",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,92 PN,93 SK
6,Aalto, 2021,"38,70 €","4,8",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,94 PK,93 PN,93 SK
7,La Montesa, 2020,"15,35 €","4,3",Vino tinto,Rioja,"14,0%",Garnacha,93 PK,93 PN,94 SK
8,Terras Gauda, 2022,"15,75 €","4,6",Vino blanco,Rías Baixas,"12,0%",Albariño,NA,92 PN,NA
9,Ramón Bilbao Crianza, 2019,"9,95 €","4,4",Vino tinto,Rioja,"14,0%",Tempranillo,NA,91 PN,NA
10,Finca Luna Beberide, 2021,"8,95 €","4,0",Vino tinto,Bierzo,"13,5%",Mencía,93+ PK,90 PN,94 SK
11,Corimbo, 2019,"21,90 €","4,4",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,94 PK,92 PN,93 SK
12,El Castro de Valtuille Mencía Joven, 2022,"6,95 €","4,0",Vino tinto,Bierzo,"13,0%",Mencía,91+ PK,90 PN,NA
13,Pago de Valdoneje Mencía, 2022,"7,95 €","4,1",Vino tinto,Bierzo,"14,5%",Mencía,92 PK,90 PN,92 SK
14,Louro, 2022,"18,50 €","4,4",Vino blanco,Valdeorras,"14,0%",Godello,92+ PK,92 PN,NA
15,Viña Ardanza Reserva, 2016,"28,40 €","4,6",Vino tinto,Rioja,"14,5%",Tempranillo,94+ PK,94 PN,95 SK
16,Malpaso, 2022,"14,50 €","4,0",Vino tinto,Méntrida,"14,0%",Syrah,94 PK,93 PN,91 SK
17,Les Cousins L'Inconscient, 2022,"10,95 €","4,3",Vino tinto,Priorat,"14,5%",Cariñena,NA,NA,NA
18,Pétalos del Bierzo, 2021,"17,50 €","4,3",Vino tinto,Bierzo,"13,5%",Mencía,92-93 PK,92 PN,92 SK
19,Paixar, 2021,"31,90 €","4,1",Vino tinto,Bierzo,"13,5%",Mencía,97 PK,93 PN,NA
20,Recaredo Terrers Brut Nature, 2019,"27,50 €","4,6",Cava,Corpinnat,"11,5%",Xarel·lo,93+ PK,94 PN,NA
21,Gramona Imperial, 2018,"23,20 €","4,7",Cava,Corpinnat,"12,0%",Xarel·lo,91+ PK,NA,NA
22,Muga Crianza , 2020,"18,95 €","4,5",Vino tinto,Rioja,"14,0%",Tempranillo,NA,NA,NA
23,Marqués de Murrieta, 2019,"26,50 €","4,5",Vino tinto,Rioja,"14,0%",Tempranillo,94 PK,93 PN,96 SK
24,Pepe Yllera Roble, 2019,"9,40 €","4,4",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,92 PK,NA,NA
25,Lindes de Remelluri Viñedos de Labastida, 2020,"17,70 €","4,4",Vino tinto,Rioja,"13,5%",Tempranillo,94 PK,93 PN,93 SK
26,Ultreia Godello, 2021,"15,50 €","4,3",Vino blanco,Bierzo,"13,5%",Godello,93+ PK,93 PN,NA
27,O Luar Do Sil, 2022,"12,80 €","4,3",Vino blanco,Valdeorras,"13,0%",Godello,NA,NA,NA
28,Les Terrasses, 2021,"39,55 €","4,4",Vino tinto,Priorat,"14,5%",Cariñena,94-96 PK,93 PN,93 SK
29,Juan Gil Etiqueta Plata, 2021,"12,25 €","4,4",Vino tinto,Jumilla,"15,0%",Monastrell,93 PK,93 PN,90 SK
30,Domaines Lupier El Terroir, 2018,"19,90 €","4,5",Vino tinto,Navarra,"14,5%",Garnacha,95 PK,94 PN,NA
31,Muga Reserva Selección Especial, 2019,"31,90 €","4,7",Vino tinto,Rioja,"14,0%",Tempranillo,95 PK,94 PN,94 SK
32,Pruno, 2021,"12,50 €","4,2",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,91 PK,90 PN,90 SK
33,Victorino, 2020,"43,50 €","4,7",Vino tinto,Toro,"14,5%",Tinta de Toro,94 PK,96 PN,93 SK
34,Raventós i Blanc de Nit, 2021,"19,15 €","4,5",Cava,Conca del Riu Anoia,"12,0%",Macabeo,92+ PK,90 PN,NA
35,Rigol Brut Nature,,"4,50 €","4,5",Cava,DO Cava,"11,5%",Parellada,NA,NA,NA
36,Pago de Carraovejas, 2021,"37,40 €","4,8",Vino tinto,Ribera del Duero,"15,0%",Tempranillo,93 PK,93 PN,91 SK
37,José Pariente Verdejo, 2022,"10,50 €","4,5",Vino blanco,Rueda,"13,0%",Verdejo,NA,92 PN,NA
38,Ultreia Saint Jacques, 2021,"11,50 €","4,2",Vino tinto,Bierzo,"13,5%",Mencía,93 PK,92 PN,NA
39,PSI, 2021,"39,95 €","4,6",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,93-95 PK,94 PN,94 SK
40,Viña Tondonia Reserva, 2010,"38,90 €","4,5",Vino tinto,Rioja,"13,0%",Tempranillo,94 PK,93 PN,95 SK
41,Tinto Pesquera Crianza, 2020,"19,30 €","4,5",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,92 PN,93 SK
42,Aalto, 2021,"38,70 €","4,8",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,94 PK,93 PN,93 SK
43,La Montesa, 2020,"15,35 €","4,3",Vino tinto,Rioja,"14,0%",Garnacha,93 PK,93 PN,94 SK
44,Terras Gauda, 2022,"15,75 €","4,6",Vino blanco,Rías Baixas,"12,0%",Albariño,NA,92 PN,NA
45,Ramón Bilbao Crianza, 2019,"9,95 €","4,4",Vino tinto,Rioja,"14,0%",Tempranillo,NA,91 PN,NA
46,Finca Luna Beberide, 2021,"8,95 €","4,0",Vino tinto,Bierzo,"13,5%",Mencía,93+ PK,90 PN,94 SK
47,Corimbo, 2019,"21,90 €","4,4",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,94 PK,92 PN,93 SK
48,El Castro de Valtuille Mencía Joven, 2022,"6,95 €","4,0",Vino tinto,Bierzo,"13,0%",Mencía,91+ PK,90 PN,NA
49,Pago de Valdoneje Mencía, 2022,"7,95 €","4,1",Vino tinto,Bierzo,"14,5%",Mencía,92 PK,90 PN,92 SK
50,Louro, 2022,"18,50 €","4,4",Vino blanco,Valdeorras,"14,0%",Godello,92+ PK,92 PN,NA
51,Viña Ardanza Reserva, 2016,"28,40 €","4,6",Vino tinto,Rioja,"14,5%",Tempranillo,94+ PK,94 PN,95 SK
52,Malpaso, 2022,"14,50 €","4,0",Vino tinto,Méntrida,"14,0%",Syrah,94 PK,93 PN,91 SK
53,Les Cousins L'Inconscient, 2022,"10,95 €","4,3",Vino tinto,Priorat,"14,5%",Cariñena,NA,NA,NA
54,Pétalos del Bierzo, 2021,"17,50 €","4,3",Vino tinto,Bierzo,"13,5%",Mencía,92-93 PK,92 PN,92 SK
55,Paixar, 2021,"31,90 €","4,1",Vino tinto,Bierzo,"13,5%",Mencía,97 PK,93 PN,NA
56,Recaredo Terrers Brut Nature, 2019,"27,50 €","4,6",Cava,Corpinnat,"11,5%",Xarel·lo,93+ PK,94 PN,NA
57,Gramona Imperial, 2018,"23,20 €","4,7",Cava,Corpinnat,"12,0%",Xarel·lo,91+ PK,NA,NA
58,Muga Crianza , 2020,"18,95 €","4,5",Vino tinto,Rioja,"14,0%",Tempranillo,NA,NA,NA
59,Marqués de Murrieta, 2019,"26,50 €","4,5",Vino tinto,Rioja,"14,0%",Tempranillo,94 PK,93 PN,96 SK
60,Pepe Yllera Roble, 2019,"9,40 €","4,4",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,92 PK,NA,NA
61,Lindes de Remelluri Viñedos de Labastida, 2020,"17,70 €","4,4",Vino tinto,Rioja,"13,5%",Tempranillo,94 PK,93 PN,93 SK
62,Ultreia Godello, 2021,"15,50 €","4,3",Vino blanco,Bierzo,"13,5%",Godello,93+ PK,93 PN,NA
63,O Luar Do Sil, 2022,"12,80 €","4,3",Vino blanco,Valdeorras,"13,0%",Godello,NA,NA,NA
64,Les Terrasses, 2021,"39,55 €","4,4",Vino tinto,Priorat,"14,5%",Cariñena,94-96 PK,93 PN,93 SK
65,Juan Gil Etiqueta Plata, 2021,"12,25 €","4,4",Vino tinto,Jumilla,"15,0%",Monastrell,93 PK,93 PN,90 SK
66,Domaines Lupier El Terroir, 2018,"19,90 €","4,5",Vino tinto,Navarra,"14,5%",Garnacha,95 PK,94 PN,NA
67,Muga Reserva Selección Especial, 2019,"31,90 €","4,7",Vino tinto,Rioja,"14,0%",Tempranillo,95 PK,94 PN,94 SK
68,Pruno, 2021,"12,50 €","4,2",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,91 PK,90 PN,90 SK
69,Victorino, 2020,"43,50 €","4,7",Vino tinto,Toro,"14,5%",Tinta de Toro,94 PK,96 PN,93 SK
70,Raventós i Blanc de Nit, 2021,"19,15 €","4,5",Cava,Conca del Riu Anoia,"12,0%",Macabeo,92+ PK,90 PN,NA
71,Rigol Brut Nature,,"4,50 €","4,5",Cava,DO Cava,"11,5%",Parellada,NA,NA,NA
72,Valldolina Reserva Brut Nature,,"9,95 €","4,3",Cava,DO Cava,"11,5%",Macabeo,NA,NA,NA
73,Cutio Garnacha, 2020,"8,95 €","3,8",Vino tinto,Cariñena,"14,5%",Garnacha,92+ PK,NA,92 SK
74,Llopart Reserva Brut Nature, 2019,"14,75 €","4,2",Cava,Corpinnat,"11,5%",Macabeo,91 PK,90 PN,NA
