Encabezados,name_w,year_w,price,user_score,type_w,region,alcohol_content,wine_grape,pk_score,pn_score,sk_score
0,Pago de Carraovejas, 2021,"37,40 €","4,8",Vino tinto,Ribera del Duero,"15,0%",Tempranillo,93 PK,93 PN,91 SK
1,José Pariente Verdejo, 2022,No se encontró el elemento price,"4,5",Vino blanco,Rueda,"13,0%",Verdejo,NA,92 PN,NA
2,Ultreia Saint Jacques, 2021,No se encontró el elemento price,"4,2",Vino tinto,Bierzo,"13,5%",Mencía,93 PK,92 PN,NA
3,PSI, 2021,"39,95 €","4,6",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,93-95 PK,94 PN,94 SK
4,Tinto Pesquera Crianza, 2020,No se encontró el elemento price,"4,5",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,92 PN,93 SK
5,Viña Tondonia Reserva, 2010,"38,90 €","4,5",Vino tinto,Rioja,"13,0%",Tempranillo,94 PK,93 PN,95 SK
6,Aalto, 2021,"38,70 €","4,8",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,94 PK,93 PN,93 SK
7,Terras Gauda, 2022,No se encontró el elemento price,"4,6",Vino blanco,Rías Baixas,"12,0%",Albariño,NA,92 PN,NA
8,Ramón Bilbao Crianza, 2019,No se encontró el elemento price,"4,4",Vino tinto,Rioja,"14,0%",Tempranillo,NA,91 PN,NA
9,La Montesa, 2020,"15,35 €","4,3",Vino tinto,Rioja,"14,0%",Garnacha,93 PK,93 PN,94 SK
10,Finca Luna Beberide, 2021,No se encontró el elemento price,"4,0",Vino tinto,Bierzo,"13,5%",Mencía,93+ PK,90 PN,94 SK
11,Corimbo, 2019,"21,90 €","4,4",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,94 PK,92 PN,93 SK
12,El Castro de Valtuille Mencía Joven, 2022,No se encontró el elemento price,"4,0",Vino tinto,Bierzo,"13,0%",Mencía,91+ PK,90 PN,NA
13,Viña Ardanza Reserva, 2017,"28,40 €","4,6",Vino tinto,Rioja,"14,5%",Tempranillo,94+ PK,94 PN,95 SK
14,Pago de Valdoneje Mencía, 2022,No se encontró el elemento price,"4,1",Vino tinto,Bierzo,"14,5%",Mencía,92 PK,90 PN,92 SK
15,Gramona Imperial, 2018,"23,20 €","4,7",Cava,Corpinnat,"12,0%",Xarel·lo,91+ PK,NA,NA
16,Louro, 2022,"18,50 €","4,4",Vino blanco,Valdeorras,"14,0%",Godello,92+ PK,92 PN,NA
17,Les Cousins L'Inconscient, 2022,No se encontró el elemento price,"4,3",Vino tinto,Priorat,"14,5%",Cariñena,NA,NA,NA
18,Recaredo Terrers Brut Nature, 2019,"27,50 €","4,6",Cava,Corpinnat,"11,5%",Xarel·lo,93+ PK,94 PN,NA
19,Parada de Atauta, 2020,No se encontró el elemento price,"4,6",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,93 PK,93 PN,92 SK
20,Malpaso, 2022,No se encontró el elemento price,"4,0",Vino tinto,Méntrida,"14,0%",Syrah,94 PK,93 PN,91 SK
21,Pétalos del Bierzo, 2021,No se encontró el elemento price,"4,3",Vino tinto,Bierzo,"13,5%",Mencía,92-93 PK,92 PN,92 SK
22,Marqués de Murrieta, 2019,"26,50 €","4,5",Vino tinto,Rioja,"14,0%",Tempranillo,94 PK,93 PN,96 SK
23,Muga Crianza , 2020,No se encontró el elemento price,"4,5",Vino tinto,Rioja,"14,0%",Tempranillo,NA,NA,NA
24,Pepe Yllera Roble, 2019,No se encontró el elemento price,"4,4",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,92 PK,NA,NA
25,O Luar Do Sil, 2022,No se encontró el elemento price,"4,3",Vino blanco,Valdeorras,"13,0%",Godello,NA,NA,NA
26,Paixar, 2021,No se encontró el elemento price,"4,1",Vino tinto,Bierzo,"13,5%",Mencía,97 PK,93 PN,NA
