,name_w,year_w,price,user_score,type_w,region,alcohol_content,wine_grape,pk_score,pn_score,sk_score
0,Ultreia Saint Jacques, 2021,11.5,4.2,Vino tinto,Bierzo,13.5,Mencía,93.0,92.0,
1,José Pariente Verdejo, 2022,10.5,4.5,Vino blanco,Rueda,13.0,Verdejo,,92.0,
2,Tinto Pesquera Crianza, 2020,19.3,4.6,Vino tinto,Ribera del Duero,14.5,Tempranillo,,92.0,93.0
3,La Montesa, 2020,15.35,4.3,Vino tinto,Rioja,14.0,Garnacha,93.0,93.0,94.0
4,Terras Gauda, 2022,15.75,4.6,Vino blanco,Rías Baixas,12.0,Albariño,,92.0,
5,Ramón Bilbao Crianza, 2019,9.95,4.4,Vino tinto,Rioja,14.0,Tempranillo,,91.0,
6,Viña Tondonia Reserva, 2010,38.9,4.5,Vino tinto,Rioja,13.0,Tempranillo,94.0,93.0,95.0
7,Corimbo, 2019,21.9,4.4,Vino tinto,Ribera del Duero,14.5,Tempranillo,94.0,92.0,93.0
8,Aalto, 2021,38.7,4.8,Vino tinto,Ribera del Duero,14.5,Tempranillo,94.0,93.0,93.0
9,Malpaso, 2022,14.5,4.0,Vino tinto,Méntrida,14.0,Syrah,94.0,93.0,91.0
10,El Castro de Valtuille Mencía Joven, 2022,6.95,4.0,Vino tinto,Bierzo,13.0,Mencía,,90.0,
11,Pago de Valdoneje Mencía, 2022,7.95,4.1,Vino tinto,Bierzo,14.5,Mencía,92.0,90.0,92.0
12,PSI, 2021,39.95,4.6,Vino tinto,Ribera del Duero,14.0,Tempranillo,,94.0,94.0
13,Louro, 2022,18.5,4.4,Vino blanco,Valdeorras,14.0,Godello,,92.0,
14,Muga Crianza , 2020,18.95,4.5,Vino tinto,Rioja,14.0,Tempranillo,,,
15,Viña Ardanza Reserva, 2016,28.4,4.6,Vino tinto,Rioja,14.5,Tempranillo,,94.0,95.0
16,Les Cousins L'Inconscient, 2022,10.95,4.3,Vino tinto,Priorat,14.5,Cariñena,,,
17,Paixar, 2021,31.9,4.1,Vino tinto,Bierzo,13.5,Mencía,97.0,93.0,
18,Pétalos del Bierzo, 2021,17.5,4.3,Vino tinto,Bierzo,13.5,Mencía,,92.0,92.0
19,Pepe Yllera Roble, 2019,9.4,4.4,Vino tinto,Ribera del Duero,14.5,Tempranillo,92.0,,
20,Parada de Atauta, 2020,20.95,4.6,Vino tinto,Ribera del Duero,14.5,Tempranillo,93.0,93.0,92.0
21,Recaredo Terrers Brut Nature, 2019,27.5,4.6,Cava,Corpinnat,11.5,Xarel·lo,,94.0,
