,name_w,year_w,price,user_score,type_w,region,alcohol_content,wine_grape,pk_score,pn_score,sk_score
0,Ultreia Saint Jacques, 2021,"11,50 €","4,2",Vino tinto,Bierzo,"13,5%",Mencía,93 PK,92 PN,NA
1,José Pariente Verdejo, 2022,"10,50 €","4,5",Vino blanco,Rueda,"13,0%",Verdejo,NA,92 PN,NA
2,Tinto Pesquera Crianza, 2020,"19,30 €","4,6",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,92 PN,93 SK
3,La Montesa, 2020,"15,35 €","4,3",Vino tinto,Rioja,"14,0%",Garnacha,93 PK,93 PN,94 SK
4,Terras Gauda, 2022,"15,75 €","4,6",Vino blanco,Rías Baixas,"12,0%",Albariño,NA,92 PN,NA
5,Ramón Bilbao Crianza, 2019,"9,95 €","4,4",Vino tinto,Rioja,"14,0%",Tempranillo,NA,91 PN,NA
6,Viña Tondonia Reserva, 2010,"38,90 €","4,5",Vino tinto,Rioja,"13,0%",Tempranillo,94 PK,93 PN,95 SK
7,Corimbo, 2019,"21,90 €","4,4",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,94 PK,92 PN,93 SK
8,Aalto, 2021,"38,70 €","4,8",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,94 PK,93 PN,93 SK
9,Malpaso, 2022,"14,50 €","4,0",Vino tinto,Méntrida,"14,0%",Syrah,94 PK,93 PN,91 SK
10,El Castro de Valtuille Mencía Joven, 2022,"6,95 €","4,0",Vino tinto,Bierzo,"13,0%",Mencía,91+ PK,90 PN,NA
11,Pago de Valdoneje Mencía, 2022,"7,95 €","4,1",Vino tinto,Bierzo,"14,5%",Mencía,92 PK,90 PN,92 SK
12,PSI, 2021,"39,95 €","4,6",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,93-95 PK,94 PN,94 SK
13,Louro, 2022,"18,50 €","4,4",Vino blanco,Valdeorras,"14,0%",Godello,92+ PK,92 PN,NA
14,Muga Crianza , 2020,"18,95 €","4,5",Vino tinto,Rioja,"14,0%",Tempranillo,NA,NA,NA
15,Viña Ardanza Reserva, 2016,"28,40 €","4,6",Vino tinto,Rioja,"14,5%",Tempranillo,94+ PK,94 PN,95 SK
16,Les Cousins L'Inconscient, 2022,"10,95 €","4,3",Vino tinto,Priorat,"14,5%",Cariñena,NA,NA,NA
17,Paixar, 2021,"31,90 €","4,1",Vino tinto,Bierzo,"13,5%",Mencía,97 PK,93 PN,NA
18,Pétalos del Bierzo, 2021,"17,50 €","4,3",Vino tinto,Bierzo,"13,5%",Mencía,92-93 PK,92 PN,92 SK
19,Pepe Yllera Roble, 2019,"9,40 €","4,4",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,92 PK,NA,NA
20,Parada de Atauta, 2020,"20,95 €","4,6",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,93 PK,93 PN,92 SK
21,Recaredo Terrers Brut Nature, 2019,"27,50 €","4,6",Cava,Corpinnat,"11,5%",Xarel·lo,93+ PK,94 PN,NA
22,Les Terrasses, 2021,"39,55 €","4,4",Vino tinto,Priorat,"14,5%",Cariñena,94-96 PK,93 PN,93 SK
23,Ultreia Godello, 2021,"15,50 €","4,3",Vino blanco,Bierzo,"13,5%",Godello,93+ PK,93 PN,NA
24,Victorino, 2020,"43,50 €","4,7",Vino tinto,Toro,"14,5%",Tinta de Toro,94 PK,96 PN,93 SK
25,Almirez, 2020,"21,50 €","4,3",Vino tinto,Toro,"14,5%",Tinta de Toro,93 PK,94 PN,91 SK
26,Gramona Imperial, 2018,"23,20 €","4,7",Cava,Corpinnat,"12,0%",Xarel·lo,91+ PK,NA,NA
27,Juan Gil Etiqueta Plata, 2021,"12,25 €","4,4",Vino tinto,Jumilla,"15,0%",Monastrell,93 PK,93 PN,90 SK
28,Lindes de Remelluri Viñedos de Labastida, 2020,"17,70 €","4,4",Vino tinto,Rioja,"13,5%",Tempranillo,94 PK,93 PN,93 SK
29,O Luar Do Sil, 2022,"12,80 €","4,3",Vino blanco,Valdeorras,"13,0%",Godello,NA,NA,NA
30,Marqués de Murrieta, 2019,"26,50 €","4,5",Vino tinto,Rioja,"14,0%",Tempranillo,94 PK,93 PN,96 SK
31,Els Pics, 2020,"17,40 €","4,4",Vino tinto,Priorat,"15,0%",Garnacha,91 PK,91 PN,NA
32,Cutio Garnacha, 2020,"8,95 €","3,8",Vino tinto,Cariñena,"14,5%",Garnacha,92+ PK,NA,92 SK
33,Carmelo Rodero Crianza, 2021,"24,90 €","4,5",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,91 PK,91 PN,NA
34,Muga Reserva Selección Especial, 2019,"31,90 €","4,7",Vino tinto,Rioja,"14,0%",Tempranillo,95 PK,94 PN,94 SK
35,Rigol Brut Nature,,"4,50 €","4,5",Cava,DO Cava,"11,5%",Parellada,NA,NA,NA
36,Pruno, 2021,"12,50 €","4,2",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,91 PK,90 PN,90 SK
37,Raventós i Blanc de Nit, 2021,"19,15 €","4,5",Cava,Conca del Riu Anoia,"12,0%",Macabeo,92+ PK,90 PN,NA
38,Valldolina Reserva Brut Nature,,"9,95 €","4,3",Cava,DO Cava,"11,5%",Macabeo,NA,NA,NA
39,Mauro, 2021,"35,50 €","4,6",Vino tinto,Castilla y León,"14,5%",Tempranillo,94 PK,92 PN,NA
40,Emilio Moro Finca Resalso, 2022,"9,60 €","4,3",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,90 PN,92 SK
41,Camins del Priorat, 2022,"25,45 €","4,5",Vino tinto,Priorat,"14,5%",Garnacha,91 PK,92 PN,92 SK
42,Dominio del Águila Reserva, 2019,"67,80 €","4,9",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,96 PK,96 PN,NA
43,Tomás Postigo 3er Año, 2021,"34,65 €","4,4",Vino tinto,Ribera del Duero,"15,0%",Tempranillo,NA,93 PN,NA
44,Matarromera Crianza, 2019,"23,80 €","4,5",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,90 PK,91 PN,NA
45,Juvé & Camps Reserva de la Familia, 2018,"18,95 €","4,7",Cava,DO Cava,"12,0%",Macabeo,NA,92 PN,91 SK
46,Honoro Vera Garnacha, 2022,"6,45 €","4,6",Vino tinto,Calatayud,"14,5%",Garnacha,NA,NA,NA
47,K-Naia, 2022,"7,20 €","4,4",Vino blanco,Rueda,"13,5%",Verdejo,NA,90 PN,NA
48,Llopart Reserva Brut Nature, 2019,"14,75 €","4,2",Cava,Corpinnat,"11,5%",Macabeo,91 PK,90 PN,NA
49,La Nieta, 2021,"120,00 €","4,6",Vino tinto,Rioja,"14,5%",Tempranillo,97 PK,95 PN,NA
50,La Celestina, 2019,"12,90 €","4,3",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,91 PK,91 PN,NA
51,Alaya Tierra, 2021,"25,95 €","4,9",Vino tinto,Almansa,"16,0%",Garnacha tintorera,92+ PK,92 PN,91 SK
52,Gessamí, 2023,"12,95 €","4,6",Vino blanco,Penedès,"11,0%",Moscatel de grano menudo,NA,90 PN,NA
53,Tragolargo, 2022,"7,70 €","3,9",Vino tinto,Alicante,"12,5%",Monastrell,91 PK,NA,NA
54,Abadía Retuerta Selección Especial, 2019,"32,50 €","4,6",Vino tinto,Abadía Retuerta,"14,5%",Tempranillo,93 PK,94 PN,94 SK
55,Hacienda Solano Viñas Viejas, 2020,"26,90 €","4,4",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,94 PK,93 PN,NA
56,Marqués de Riscal Reserva, 2019,"16,90 €","4,4",Vino tinto,Rioja,"14,0%",Tempranillo,NA,94 PN,93 SK
57,Laya, 2022,"6,45 €","4,2",Vino tinto,Almansa,"14,5%",Garnacha tintorera,90 PK,90 PN,92 SK
58,La Celestina Vendimia Seleccionada, 2019,"14,50 €","4,5",Vino tinto,Ribera del Duero,"15,0%",Tempranillo,91+ PK,90 PN,NA
59,José Pariente Sauvignon Blanc, 2022,"10,50 €","4,5",Vino blanco,Rueda,"13,0%",Sauvignon blanc,NA,91 PN,NA
60,Recaredo Brut Nature Serral del Vell, 2017,"35,95 €","4,4",Cava,Corpinnat,"12,5%",Xarel·lo,95 PK,94 PN,NA
61,Dominio de Atauta, 2020,"28,85 €","4,4",Vino tinto,Ribera del Duero,"15,0%",Tempranillo,94 PK,94 PN,94 SK
62,Malleolus, 2021,"34,90 €","4,6",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,93 PK,NA,NA
63,Remelluri Reserva, 2015,"26,60 €","4,5",Vino tinto,Rioja,"14,0%",Tempranillo,93+ PK,93 PN,93 SK
64,La Atalaya del Camino, 2020,"12,90 €","4,4",Vino tinto,Almansa,"15,0%",Garnacha tintorera,92 PK,NA,NA
65,Alta Alella Mirgin Laietà, 2019,"19,95 €","4,4",Cava,DO Cava,"12,0%",Pansa blanca,NA,NA,NA
